registry_name,relative_path,row_count
gpu_price_volatility,data/gpu_price_volatility.csv,1
gpu_scarcity_index,data/gpu_scarcity_index.csv,1
gpu_watchlist,data/gpu_watchlist.csv,9
gpu_watchlist_intelligence,data/gpu_watchlist_intelligence.csv,9
historical_capacity_registry,data/historical_capacity_registry.csv,5
historical_entity_registry,data/historical_entity_registry.csv,26
historical_pricing_registry,data/historical_pricing_registry.csv,0
historical_relationship_registry,data/historical_relationship_registry.csv,10
historical_source_registry,data/historical_source_registry.csv,17
history_summary,data/history_summary.csv,1
index_history,data/index_history.csv,75
intel_historical_gpu_registry,data/intel_historical_gpu_registry.csv,4
intelligence_signal_score,data/intelligence_signal_score.csv,1
investor_dashboard,data/investor_dashboard.csv,1
investor_metrics,data/investor_metrics.csv,1
kpi_dashboard,data/kpi_dashboard.csv,1
launch_readiness,data/launch_readiness.csv,1
live_data_quality_score,data/live_data_quality_score.csv,1
live_gpu_alerts,data/live_gpu_alerts.csv,1
live_gpu_cheapest,data/live_gpu_cheapest.csv,10
live_gpu_most_available,data/live_gpu_most_available.csv,10
live_gpu_most_expensive,data/live_gpu_most_expensive.csv,10
live_gpu_price_history,data/live_gpu_price_history.csv,16
live_gpu_price_index,data/live_gpu_price_index.csv,1
live_offer_summary,data/live_offer_summary.csv,22
live_provider_data,data/live_provider_data.csv,100
live_provider_dominance,data/live_provider_dominance.csv,1
live_provider_market_share,data/live_provider_market_share.csv,2
live_provider_market_share_history,data/live_provider_market_share_history.csv,16
live_provider_status,data/live_provider_status.csv,4
market_data,data/market_data.csv,152
market_data_moat_status,data/market_data_moat_status.csv,1
market_regime,data/market_regime.csv,1
monetization_readiness,data/monetization_readiness.csv,1
nvidia_historical_gpu_registry,data/nvidia_historical_gpu_registry.csv,5
oneapi_timeline,data/oneapi_timeline.csv,4
operational_status,data/operational_status.csv,1
pipeline_health_summary,data/pipeline_health_summary.csv,4
pipeline_run_registry,data/pipeline_run_registry.csv,1
plan_access_matrix,data/plan_access_matrix.csv,10
plan_limits,data/plan_limits.csv,3
predictions,data/predictions.csv,1
pricing_tiers,data/pricing_tiers.csv,3
product_readiness_score,data/product_readiness_score.csv,1
product_terminal_readiness,data/product_terminal_readiness.csv,1
production_readiness,data/production_readiness.csv,1
provider_comparison,data/provider_comparison.csv,2
provider_concentration,data/provider_concentration.csv,1
provider_coverage_score,data/provider_coverage_score.csv,55
provider_credentials,data/provider_credentials.csv,4
provider_daily_metrics,data/provider_daily_metrics.csv,102
provider_data_mode,data/provider_data_mode.csv,1
provider_dominance_index,data/provider_dominance_index.csv,1
provider_entity_registry,data/provider_entity_registry.csv,9
provider_health,data/provider_health.csv,2
provider_health_history,data/provider_health_history.csv,2
provider_history,data/provider_history.csv,5
provider_intelligence_readiness,data/provider_intelligence_readiness.csv,1
provider_live_readiness,data/provider_live_readiness.csv,2
provider_market_share_history,data/provider_market_share_history.csv,2
provider_marketshare,data/provider_marketshare.csv,5
provider_rankings,data/provider_rankings.csv,5
provider_readiness,data/provider_readiness.csv,1
provider_registry,data/provider_registry.csv,6
provider_relationship_registry,data/provider_relationship_registry.csv,5
provider_reliability_ranking,data/provider_reliability_ranking.csv,2
public_beta_status,data/public_beta_status.csv,1
public_usage_snapshot,data/public_usage_snapshot.csv,1
real_provider_todo,data/real_provider_todo.csv,5
registry_catalog_v2,data/registry_catalog_v2.csv,138
registry_metadata,data/registry_metadata.csv,138
rocm_timeline,data/rocm_timeline.csv,4
rpct_scores,data/rpct_scores.csv,37
runpod_live_report,data/runpod_live_report.csv,47
sales_readiness,data/sales_readiness.csv,1
scarcity_watchlist,data/scarcity_watchlist.csv,3
shortage_probability,data/shortage_probability.csv,1
synapseai_timeline,data/synapseai_timeline.csv,4
terminal_risk_score,data/terminal_risk_score.csv,1
terminal_summary,data/terminal_summary.csv,1
terminal_trend_history,data/terminal_trend_history.csv,32
time_series_forecast,data/time_series_forecast.csv,1
trend_signal,data/trend_signal.csv,1
trust_status,data/trust_status.csv,1
unified_accelerator_registry,data/unified_accelerator_registry.csv,10
unified_hardware_registry,data/unified_hardware_registry.csv,10
unified_software_stack_registry,data/unified_software_stack_registry.csv,5
usage_metrics,data/usage_metrics.csv,1
usage_plan_matrix,data/usage_plan_matrix.csv,3
user_feedback,data/user_feedback.csv,0
vast_live_report,data/vast_live_report.csv,100
warehouse_metrics,data/warehouse_metrics.csv,1
